recipient_type,year,number_of_forms_1042s,u_s_tax_withheld,total_u_s_source_income,interest,dividends,rents_royalties,socialsecurity,personal_services_income,notional_principal_contract,af_change,WFP,ForCorp,ForIndiv,ForGovt,ForPart,int_share_of_total_income,share_of_total_interest,share_of_total_income,share_of_total_forms,non_int_income,share_of_nonint_inc
Corporations,2020,840813,11281264,599684092,271016634,96310841,46746462,0,7710482,35748095,1,0,1,0,0,0,0.45193233840193314,0.5426987860336986,0.5873015028752716,0.09997126227342883,328667458,0.6299968008059973
Corporations,2021,828163,11846261,541072789,215251952,129294462,67633933,0,10758655,30172969,1,0,1,0,0,0,0.39782438957579885,0.5405992753207485,0.5725036244206396,0.0922476231976268,325820837,0.5957305954462666
Corporations,2022,1103857,15238711,727890939,333276171,163330418,77017063,0,15191400,40152737,1,0,1,0,0,0,0.45786553059427493,0.579363830483914,0.6200351516349593,0.07845252531167952,394614768,0.6591127191946516
Governments and international organizations,2015,254639,150437,126325596,91648190,25948278,472106,0,56864,0,0,0,0,0,1,0,0.7254918472737703,0.2242641739182486,0.1532525577376363,0.04811974349642029,34677406,0.0834323390551051
Governments and international organizations,2016,106289,104380,118162271,85918154,24484951,175910,0,43325,3712,0,0,0,0,1,0,0.7271200297089754,0.208748471987637,0.13851915292814448,0.018729197294187903,32244117,0.07304100859000734
Governments and international organizations,2017,64858,78889,128702010,84066174,23663554,119013,0,43148,16,0,0,0,0,1,0,0.6531846239231229,0.18392823223011548,0.14590162693927738,0.010876479064815316,44635836,0.10501182714282072
Governments and international organizations,2018,62052,63844,144242673,99495052,29237967,203595,0,32360,22,1,0,0,0,1,0,0.6897754314356057,0.18547235084515024,0.13607975832501645,0.009536348607545875,44747621,0.08547046710582727
Governments and international organizations,2019,61577,41304,152505395,110026283,28798189,174987,0,28481,9,1,0,0,0,1,0,0.721458299885063,0.1905737368796167,0.13548016973172528,0.008661054944820007,42479112,0.07747089559314377
Governments and international organizations,2020,74922,51006,144639337,100805944,28793830,311292,0,20464,600028,1,0,0,0,1,0,0.696946944661396,0.2018594306421096,0.1416527487192088,0.008908100745409306,43833393,0.08402078358019856
Governments and international organizations,2021,55163,51252,135731502,87544416,29941638,222368,0,16368,356911,1,0,0,0,1,0,0.6449822974772651,0.219865359678495,0.1436161241571091,0.00614450976251135,48187086,0.08810523507310386
Governments and international organizations,2022,68982,83374,140588054,89062083,32287012,443065,0,28054,69706,1,0,0,0,1,0,0.6334968047854194,0.15482459907929116,0.11975631335610547,0.004902638748542861,51525971,0.08606221968599706
Hybrid entity making treaty claim,2019,2292,125161,16620201,3746326,4438573,2937100,0,139062,0,1,0,0,0,0,0,0.225407983934731,0.006488916338192275,0.014764773747547685,3.223791015075021e-4,12873875,0.02347861287694017
Hybrid entity making treaty claim,2020,2769,50674,7297849,2903992,981628,868345,0,200015,5,1,0,0,0,0,0,0.3979243747027377,0.005815115145484289,0.0071471592170512304,3.292294781778165e-4,4393857,0.008422238909941114
Hybrid entity making treaty claim,2021,5190,112355,11606318,4054930,2863475,729090,0,346949,0,1,0,0,0,0,0,0.34937264341714575,0.010183843626544037,0.012280527234531671,5.781049918864803e-4,7551388,0.013806952652588612
Hybrid entity making treaty claim,2022,8948,86882,11636519,3447425,3260237,1830030,0,822384,843,1,0,0,0,0,0,0.2962591304152041,0.005992967775983022,0.00991226904483844,6.359457760279713e-4,8189094,0.013677987880272656
Individuals,2015,3870025,1221250,13357905,1898087,2589078,1829460,1928987,1553820,4916,0,0,0,1,0,0,0.14209466229921533,0.004644640696995398,0.016205212340865274,0.7313279204078478,11459818,0.027571826476461253
Individuals,2016,4065803,2305895,13422555,1566926,2593944,2093925,1990325,1157402,0,0,0,0,1,0,0,0.11673828119907126,0.003807034869693547,0.015734979812053802,0.7164356287696851,11855629,0.02685597188562925
Individuals,2017,4439105,1567407,15363099,1969711,3206922,2155891,2049350,1281104,446,0,0,0,1,0,0,0.1282105257539511,0.004309527185502851,0.017416209264557603,0.7444237040768601,13393388,0.03150975251169776
Individuals,2018,4925906,1672738,17748340,2547535,3554124,2470772,2138684,1411024,0,1,0,0,1,0,0,0.14353652228884503,0.004748952795263626,0.016743934146798728,0.7570288922839211,15200805,0.029034390537423092
Individuals,2019,5456187,1579649,15751990,2755916,3435893,1693707,2242544,1244661,0,1,0,0,1,0,0,0.17495668801211783,0.004773452272729469,0.013993487107865521,0.7674348441173269,12996074,0.023701472195905845
Individuals,2020,7074906,1659677,24378523,2791383,3798175,10406285,2329723,1155711,0,1,0,0,1,0,0,0.1145017276067135,0.005589620618840331,0.023875142573866002,0.8411945144590477,21587140,0.04137869085460592
Individuals,2021,7442952,1721033,17608190,2086081,3464331,3605320,2386379,1155362,0,1,0,0,1,0,0,0.11847219958439795,0.005239134262812086,0.01863104705952467,0.8290573613817845,15522109,0.028380613475472268
Individuals,2022,12403723,2640728,23099470,2939853,5871641,4068319,2571060,1441249,0,1,0,0,1,0,0,0.12726928366754736,0.005110609888576841,0.01967668865862499,0.8815484185148633,20159617,0.03367197848711208
Other and unknown,2015,287344,1300939,101541642,40147614,30813832,12028023,0,345581,7204698,0,0,0,0,0,0,0.395380783777359,0.09824167273242071,0.12318577427000144,0.05430008590685399,61394028,0.14771137610623516
Other and unknown,2016,544377,1183815,46346931,20233209,8045405,9326469,0,384915,145266,0,0,0,0,0,0,0.4365598447068696,0.049159010820419916,0.054331535511357595,0.0959247357244694,26113722,0.05915412702785639
Other and unknown,2017,476107,1176529,48441757,15991333,12097021,6622791,0,455032,403987,0,0,0,0,0,0,0.3301146364282369,0.03498740896300466,0.05491546836057284,0.07984162043405633,32450424,0.07634400116980537
Other and unknown,2018,477038,676291,40746639,16019434,6644391,7015471,0,640207,294222,1,0,0,0,0,0,0.393147371001569,0.029862410476339352,0.038440724040635955,0.07331271622262729,24727205,0.04723034910775587
Other and unknown,2019,512054,379499,30796352,8136680,3707590,8512468,0,353811,312913,1,0,0,0,0,0,0.26420921542915216,0.014093337256459348,0.027358343592224766,0.07202247314281085,22659672,0.041325371483445394
Other and unknown,2020,185190,189062,11689331,5023219,2080139,883395,0,197625,321981,1,0,0,0,0,0,0.42972681670148616,0.010058773194273415,0.011447963611992065,0.02201878189373414,6666112,0.012777745808392348
Other and unknown,2021,409187,220976,25587966,4577904,2345270,2346859,0,2466805,40075,1,0,0,0,0,0,0.17890847596092632,0.01149727824483541,0.027074367024862704,0.04557862183334358,21010062,0.03841478298584991
Other and unknown,2022,196179,282503,16974014,5419086,3078063,3151421,0,319858,11439,1,0,0,0,0,0,0.3192577783899554,0.00942048275837204,0.014458876708649237,0.01394269181888594,11554928,0.019299835261559237
Partnerships and trusts,2015,175300,726216,21992305,7302467,9536435,1799310,0,34762,0,0,0,0,0,0,1,0.33204645897735596,0.01786922065040533,0.026680079877052055,0.03312686208680712,14689838,0.03534311489967176
Partnerships and trusts,2016,195693,727523,28941597,8456618,9818882,5699271,0,37688,1563155,0,0,0,0,0,1,0.29219596969718015,0.0205463688812861,0.03392762737970505,0.03448308673608288,20484979,0.04640361300962653
Partnerships and trusts,2017,185730,755652,26571413,10292177,9670785,2594754,0,332068,194494,0,0,0,0,0,1,0.3873402216133557,0.022518235710470815,0.03012239192515692,0.03114632669382572,16279236,0.038299099334650845
Partnerships and trusts,2018,191582,868990,31686176,13850626,11535057,1765215,0,354078,79423,1,0,0,0,0,1,0.4371188874290164,0.025819456478066466,0.02989300657457961,0.02944293075051334,17835550,0.03406690133514221
Partnerships and trusts,2019,184442,869572,32028557,14528010,12065956,889985,0,374905,1371,1,0,0,0,0,1,0.4535955210220679,0.025163598002528546,0.028452989080302617,0.025942515811625957,17500547,0.031916464013181475
Partnerships and trusts,2020,160805,822689,28250101,13511169,10757962,462461,0,86149,786,1,0,0,0,0,1,0.47826975910634795,0.027055516504555736,0.027666778217085363,0.01911944609547988,14738932,0.028251899545519165
Partnerships and trusts,2021,161252,1048220,60406885,14229212,13498151,638571,0,135167,25952850,1,0,0,0,0,1,0.23555612907369747,0.035736269167887955,0.06391591169531308,0.017961577293194357,46177673,0.08443122571873138
Partnerships and trusts,2022,188176,1289556,57117966,37483147,13592934,937452,0,522912,51,1,0,0,0,0,1,0.6562409277669307,0.06516031302013378,0.04865446842702139,0.013373908398506877,19634819,0.032795424782442024
Pensions,2019,7525,74243,2800604,564612,367730,2035,0,730,0,1,0,0,0,0,0,0.20160365406890798,9.77950138759792e-4,0.002487953329594331,0.001058421788326332,2235992,0.004077870148959439
Pensions,2020,8275,57390,863156,213507,356516,1129,0,1028,0,1,0,0,0,0,0,0.2473562137087618,4.275382953420375e-4,8.453331058443485e-4,9.838836879456235e-4,649649,0.0012452610737227758
Pensions,2021,8408,17406,1230451,239798,398329,440,0,895,0,1,0,0,0,0,0,0.19488626527996644,6.02245990425977e-4,0.0013019277100848633,9.36552364505111e-4,990653,0.0018113092674015515
Pensions,2022,9428,57850,2184557,297920,537322,9879,0,700,0,1,0,0,0,0,0,0.13637547566852226,5.179010304273079e-4,0.0018608586234238201,6.700599884210677e-4,1886637,0.0031511908424147975
Tax-exempt organizations,2015,12965,54197,1516437,342078,689398,149416,0,15146,0,0,0,0,0,0,0,0.22558009333721085,8.370687962916305e-4,0.0018396734807250622,0.002450027193128661,1174359,0.0028254569635460668
Tax-exempt organizations,2016,14339,8549,2241856,393750,360485,1239489,0,22080,0,0,0,0,0,0,0,0.17563572325787205,9.566629055499967e-4,0.002628080786521768,0.002526676890377747,1848106,0.00418642340930732
Tax-exempt organizations,2017,13969,8938,1388713,489860,522781,205632,0,25032,0,0,0,0,0,0,0,0.3527438714838847,0.0010717638207282322,0.001574299313986819,0.002342556601443232,898853,0.0021146729695575954
Tax-exempt organizations,2018,14704,7914,1720214,547021,672767,291773,0,24584,0,1,0,0,0,0,0,0.31799590051005283,0.0010197217730150534,0.001622864444472059,0.002259757460280967,1173193,0.002240864463281452
U.S. branches treated as U.S. persons,2015,2241,22283,14017617,6988793,2839852,14029,0,2823,2747578,0,0,0,0,0,0,0.49857211821381625,0.01710165676846033,0.01700554540535532,4.234871530891885e-4,7028824,0.016911046550790447
U.S. branches treated as U.S. persons,2016,2155,55268,16062185,8289159,2967327,19660,0,31048,1865193,0,0,0,0,0,0,0.5160667119697601,0.02013950713271341,0.018829362719130105,3.797328055487861e-4,7773026,0.017607852583972152
U.S. branches treated as U.S. persons,2017,3233,83602,29637382,18840134,5133284,73724,0,6105,1459768,0,0,0,0,0,0,0.6356881994502753,0.04122029559235674,0.033598094171340874,5.42163754919176e-4,10797248,0.025401982850599386
U.S. branches treated as U.S. persons,2018,1402,96937,49530521,34620844,7304910,12555,0,29965,1083204,1,0,0,0,0,0,0.698980008710185,0.06453797647066122,0.04672751265079615,2.1546381660187127e-4,14909677,0.028478319720885485
U.S. branches treated as U.S. persons,2019,2195,52324,50897523,33981893,7365011,21597,0,27028,1255051,1,0,0,0,0,0,0.6676531783285407,0.058859175813957915,0.045215482737278836,3.087356578573155e-4,16915630,0.030849726934551985
U.S. branches treated as U.S. persons,2020,2117,13546,63548888,25092061,8604577,2845,0,49669,24960570,1,0,0,0,0,0,0.39484657859001404,0.050245738952626476,0.06223669749847611,2.5170776645086224e-4,38456827,0.0737148670774388
U.S. branches treated as U.S. persons,2021,1857,14558,23128500,8652012,7198129,4649,0,29461,688710,1,0,0,0,0,0,0.3740844412737532,0.021729286883616368,0.024472031021712984,2.0684797108539379e-4,14476488,0.02646880075447947
U.S. branches treated as U.S. persons,2022,2640,3001,50520853,35394870,6510017,79281,0,24762,643641,1,0,0,0,0,0,0.7005992159316866,0.061530073995839846,0.04303488760777456,1.8762816816203e-4,15125983,0.025264456868025968
Withholding foreign partnerships and trusts,2015,3052,9356,2301429,1010758,343520,15186,0,1813,709931,0,1,0,0,0,1,0.4391871311259222,0.002473336439064002,0.0027919906326946647,5.767437711861684e-4,1290671,0.0031052986051088006
Withholding foreign partnerships and trusts,2016,3141,7824,3079290,1106371,613934,27724,0,3257,688478,0,1,0,0,0,1,0.3592941879459226,0.0026880611948603313,0.003609787107257832,5.53475982472732e-4,1972919,0.004469156144867875
Withholding foreign partnerships and trusts,2017,4045,7179,3712793,1346648,1082983,27956,0,27956,264191,0,1,0,0,0,1,0.36270484241917067,0.0029463287585351577,0.00420896720407677,6.783335566495722e-4,2366145,0.005566675389139111
Withholding foreign partnerships and trusts,2018,4776,36051,3790386,1824553,1001186,60225,0,42631,70944,1,1,0,0,0,1,0.48136337565619963,0.003401215712230307,0.0035758822275744006,7.339908616908254e-4,1965833,0.003754851341975247
Withholding foreign partnerships and trusts,2019,5993,7492,6256318,2764691,1857318,33949,0,39530,103536,1,1,0,0,0,1,0.4419038482378933,0.004788651227883836,0.005557882227941169,8.429397710883333e-4,3491627,0.006367823102498041
Withholding foreign partnerships and trusts,2020,9806,16596,6046545,2800282,1932607,118462,0,12143,178185,1,1,0,0,0,1,0.4631210054667583,0.005607440471539535,0.00592169279304971,0.0011659170325069225,3246263,0.006222506228696603
Withholding foreign partnerships and trusts,2021,7235,6633,9359800,2856930,3813862,45027,0,4358,167941,1,1,0,0,0,1,0.305234086198423,0.007175100031808799,0.009903509348078309,8.058939530440625e-4,6502870,0.011889843058777924
Withholding foreign partnerships and trusts,2022,9115,8618,14036522,6848839,4238567,166058,0,24509,78735,1,1,0,0,0,1,0.48792991597206203,0.011905950507957615,0.011956649795165869,6.478146790897362e-4,7187683,0.012005362371129433
Withholding rate pools (general),2015,35724,4724935,86960654,42111617,35632878,191911,0,438,0,0,0,0,0,0,0,0.48426058295283747,0.10304761063875538,0.1054967723883734,0.006750850092350813,44849037,0.10790484332302576
Withholding rate pools (general),2016,40192,4936901,86838917,45138571,36020295,70597,0,0,0,0,0,0,0,0,0,0.51979656770708,0.10966957837519954,0.1017994417527524,0.007082237086133092,41700346,0.09446173794718206
Withholding rate pools (general),2017,27411,5000023,92027890,48127480,37483176,66348,0,0,0,0,0,0,0,0,0,0.5229662442548666,0.10529802769530393,0.10432641164492192,0.004596736989201836,43900410,0.10328163824284502
Withholding rate pools (general),2018,34328,5973618,113768550,53840482,49414290,115417,0,15913,0,1,0,0,0,0,0,0.47324574322165486,0.10036600380063118,0.1073302128073261,0.00527563615999218,59928068,0.1144659727208689
Withholding rate pools (general),2019,29941,5615994,97378603,50246054,40475938,195664,0,13852,0,1,0,0,0,0,0,0.5159865971788484,0.08702991697206579,0.08650756035665683,0.004211323158043682,47132549,0.08595755915560882
Withholding rate pools (general),2020,29174,6030302,116904813,67436595,41923353,41654,0,7049,471,1,0,0,0,0,0,0.5768504586718769,0.1350387896882602,0.11449090159999208,0.0034687399047885945,49468218,0.09482173644819333
Withholding rate pools (general),2021,32932,6738946,106109221,53852276,44809151,123811,0,13633,0,1,0,0,0,0,0,0.5075174003963331,0.1352484895466729,0.11227308939195359,0.0036682376864750612,52256945,0.09554656248413235
Withholding rate pools (general),2022,37365,7707526,111490877,54470949,50455545,287041,0,12081,0,1,0,0,0,0,0,0.48856866557790196,0.09469173138914251,0.0949706324433441,0.002655578220975095,57019928,0.0952386044314572
Withholding rate pools (tax-exempt),2015,1092,4098,19279065,12027563,7056675,1926,0,5,0,0,0,0,0,0,0,0.6238665101238052,0.029431584851208645,0.02338849857506426,2.0635786308495935e-4,7251502,0.017446800188075564
Withholding rate pools (tax-exempt),2016,924,2548,13910057,6699459,6904905,192,0,3,0,0,0,0,0,0,0,0.4816269983652835,0.01627714009537289,0.016306468185790086,1.6281814957173012e-4,7210598,0.016333812163536368
Withholding rate pools (tax-exempt),2017,725,2100,10855839,4468047,6146583,0,0,0,0,0,0,0,0,0,0,0.41158007225420346,0.009775632066127702,0.012306603229357942,1.2158018011642518e-4,6387792,0.015028142619044775
Withholding rate pools (tax-exempt),2018,869,4814,16572585,9934072,6161886,1,0,0,0,1,0,0,0,0,0,0.5994280312938507,0.018518465494193455,0.015634716930272036,1.3355068233026116e-4,6638513,0.012679932347646075
Withholding rate pools (tax-exempt),2019,901,1129,16561881,7176149,7967501,2,0,0,0,1,0,0,0,0,0,0.43329311447171975,0.012429625849806492,0.014712964409925535,1.2672930648266115e-4,9385732,0.017117143687872486
Withholding rate pools (tax-exempt),2020,836,1420,17295969,7791551,8079041,0,0,0,0,1,0,0,0,0,0,0.4504836358113269,0.015602235208262715,0.016938832833644866,9.939900460695363e-5,9504418,0.01821827134928258
Withholding rate pools (tax-exempt),2021,885,1607,12593580,4826309,6562968,5,0,0,0,1,0,0,0,0,0,0.383235664521129,0.012121140475762127,0.013325139132863099,9.857859688237669e-5,7767271,0.014201672982082844
Withholding rate pools (tax-exempt),2022,929,21396,16437238,6591175,8677228,224,0,0,0,1,0,0,0,0,0,0.40099042187014633,0.011458030089375373,0.01400163789618202,6.602521523580526e-5,9846063,0.016445571437133464
