recipient_type,number_of_forms_1042s,total_u_s_source_income,u_s_tax_withheld,interest,dividends,rents_royalties,socialsecurity,personal_services_income,notional_principal_contract,return_on_capital,year,af_change,WFP,ForCorp,int_share_of_total_income,share_of_total_interest,share_of_total_income,non_int_income,share_of_nonint_inc
Corporations,840813.0,11281264.0,599684092.0,271016634.0,96310841.0,46746462.0,0.0,7710482.0,35748095.0,,2020,1,0,1,24.023605333586733,0.5426987860336986,0.5563965562122951,-259735370.0,0.5421191080246408
Hybrid entity making treaty claim,2769.0,50674.0,7297849.0,2903992.0,981628.0,868345.0,0.0,200015.0,5.0,,2020,1,0,0,57.307337095946636,0.005815115145484289,0.0024992624132811575,-2853318.0,0.005955439219043029
Individuals,7074906.0,1659677.0,24378523.0,2791383.0,3798175.0,10406285.0,2329723.0,1155711.0,0.0,,2020,1,0,0,1.6818832821085066,0.005589620618840331,0.08185594869730496,-1131706.0,0.0023620943395816062
Other and unknown,185190.0,189062.0,11689331.0,5023219.0,2080139.0,883395.0,0.0,197625.0,321981.0,,2020,1,0,0,26.56916249695867,0.010058773194273415,0.009324615194769749,-4834157.0,0.010089842137753798
Partnerships and trusts,160805.0,822689.0,28250101.0,13511169.0,10757962.0,462461.0,0.0,86149.0,786.0,,2020,1,0,0,16.4231793545313,0.027055516504555736,0.04057535808343257,-12688480.0,0.026483368282835314
U.S. branches treated as U.S. persons,2117.0,13546.0,63548888.0,25092061.0,8604577.0,2845.0,0.0,49669.0,24960570.0,,2020,1,0,0,1852.3594419016683,0.050245738952626476,0.0006680942623496578,-25078515.0,0.052343822800809056
Withholding foreign partnerships and trusts,9806.0,16596.0,6046545.0,2800282.0,1932607.0,118462.0,0.0,12143.0,178185.0,,2020,1,1,0,168.73234514340805,0.005607440471539535,0.0008185215102580039,-2783686.0,0.005810103457764264
Withholding rate pools (general),29174.0,6030302.0,116904813.0,67436595.0,41923353.0,41654.0,0.0,7049.0,471.0,,2020,1,0,0,11.182954850354095,0.1350387896882602,0.29741696193973616,-61406293.0,0.12816708324422563
Withholding rate pools (tax-exempt),836.0,1420.0,17295969.0,7791551.0,8079041.0,0.0,0.0,0.0,0.0,,2020,1,0,0,5487.007746478873,0.015602235208262715,7.003498099339393e-05,-7790131.0,0.016259544740152655
Corporations,828163.0,11846261.0,541072789.0,215251952.0,129294462.0,67633933.0,0.0,10758655.0,30172969.0,22508595.0,2021,1,0,1,18.170454964650872,0.5405992753207485,0.5407599193890159,-203405691.0,0.5405899224196498
Hybrid entity making treaty claim,5190.0,112355.0,11606318.0,4054930.0,2863475.0,729090.0,0.0,346949.0,0.0,1867514.0,2021,1,0,0,36.09033865871568,0.010183843626544037,0.005128798085991258,-3942575.0,0.010478154779767941
Individuals,7442952.0,1721033.0,17608190.0,2086081.0,3464331.0,3605320.0,2386379.0,1155362.0,0.0,540053.0,2021,1,0,0,1.2121098200906084,0.005239134262812086,0.07856197549132475,-365048.0,0.0009701855883641344
Other and unknown,409187.0,220976.0,25587966.0,4577904.0,2345270.0,2346859.0,0.0,2466805.0,40075.0,240303.0,2021,1,0,0,20.716747520092678,0.01149727824483541,0.010087145973476963,-4356928.0,0.011579377931505368
Partnerships and trusts,161252.0,1048220.0,60406885.0,14229212.0,13498151.0,638571.0,0.0,135167.0,25952850.0,3386035.0,2021,1,0,0,13.574642727671671,0.035736269167887955,0.047849305591186476,-13180992.0,0.035031032847030935
U.S. branches treated as U.S. persons,1857.0,14558.0,23128500.0,8652012.0,7198129.0,4649.0,0.0,29461.0,688710.0,224861.0,2021,1,0,0,594.3132298392636,0.021729286883616368,0.0006645457926737638,-8637454.0,0.022955702786916093
Withholding foreign partnerships and trusts,7235.0,6633.0,9359800.0,2856930.0,3813862.0,45027.0,0.0,4358.0,167941.0,1996652.0,2021,1,1,0,430.71460877431025,0.007175100031808799,0.0003027841903286904,-2850297.0,0.0075752149633952996
Withholding rate pools (general),32932.0,6738946.0,106109221.0,53852276.0,44809151.0,123811.0,0.0,13633.0,0.0,1039211.0,2021,1,0,0,7.99120159146549,0.1352484895466729,0.30762042941033724,-47113330.0,0.12521277691110108
Withholding rate pools (tax-exempt),885.0,1607.0,12593580.0,4826309.0,6562968.0,5.0,0.0,0.0,0.0,336382.0,2021,1,0,0,3003.303671437461,0.012121140475762127,7.335657980675494e-05,-4824702.0,0.012822577711839582
Corporations,1103857.0,15238711.0,727890939.0,333276171.0,163330418.0,77017063.0,0.0,15191400.0,40152737.0,19094593.0,2022,1,0,1,21.870364954096182,0.579363830483914,0.5465490826810773,-318037460.0,0.5810353537113119
Hybrid entity making treaty claim,8948.0,86882.0,11636519.0,3447425.0,3260237.0,1830030.0,0.0,822384.0,843.0,359207.0,2022,1,0,0,39.67939273957782,0.005992967775983022,0.0031160954100053055,-3360543.0,0.00613951039184841
Individuals,12403723.0,2640728.0,23099470.0,2939853.0,5871641.0,4068319.0,2571060.0,1441249.0,0.0,311905.0,2022,1,0,0,1.113273688164779,0.005110609888576841,0.09471191270772415,-299125.0,0.0005464834242447294
Other and unknown,196179.0,282503.0,16974014.0,5419086.0,3078063.0,3151421.0,0.0,319858.0,11439.0,513979.0,2022,1,0,0,19.18240160281484,0.00942048275837204,0.01013220576889032,-5136583.0,0.0093842288901204
Partnerships and trusts,188176.0,1289556.0,57117966.0,37483147.0,13592934.0,937452.0,0.0,522912.0,51.0,2055309.0,2022,1,0,0,29.06670745589955,0.06516031302013378,0.04625100173275019,-36193591.0,0.06612351874765807
U.S. branches treated as U.S. persons,2640.0,3001.0,50520853.0,35394870.0,6510017.0,79281.0,0.0,24762.0,643641.0,27905.0,2022,1,0,0,11794.35854715095,0.061530073995839846,0.00010763336853923622,-35391869.0,0.06465882076570292
Withholding foreign partnerships and trusts,9115.0,8618.0,14036522.0,6848839.0,4238567.0,166058.0,0.0,24509.0,78735.0,1319674.0,2022,1,1,0,794.713274541657,0.011905950507957615,0.0003090917594372335,-6840221.0,0.012496673279300317
Withholding rate pools (general),37365.0,7707526.0,111490877.0,54470949.0,50455545.0,287041.0,0.0,12081.0,0.0,964485.0,2022,1,0,0,7.067241680404321,0.09469173138914251,0.27643684987795575,-46763423.0,0.08543396750671035
Withholding rate pools (tax-exempt),929.0,21396.0,16437238.0,6591175.0,8677228.0,224.0,0.0,0.0,0.0,274472.0,2022,1,0,0,308.0564124135352,0.011458030089375373,0.0007673853892920687,-6569779.0,0.01200259197476344
